Crop,Pesticide,Valid_From,MRL_values,count
Liver,"Dichlorprop, its salts, esters and conjugates, expressed as dichlorprop)",2025-04-17,"[np.float64(0.06), np.float64(0.05)]",7
Liver,Dicofol,2013-04-26,"[np.float64(0.02), np.float64(0.05)]",14
Liver,Difenoconazole,2024-10-28,"[np.float64(0.2), np.float64(0.1)]",7
Liver,Difluoroacetic acid (DFA),2025-04-30,"[np.float64(0.3), np.float64(0.4), np.float64(0.15), np.float64(0.1)]",7
Liver,Dinotefuran,2014-06-05,"[np.float64(0.02), np.float64(0.1)]",7
Liver,"Emamectin B1a and its salts, expressed as emamectin B1a (free base) (R)",2024-06-11,"[np.float64(0.09), np.float64(0.01)]",14
Liver,Ethephon,2017-10-20,"[np.float64(0.4), np.float64(0.08)]",7
Liver,Etofenprox,2021-05-03,"[np.float64(0.05), np.float64(0.06), np.float64(0.01)]",7
Liver,Famoxadone,2024-10-29,"[np.float64(0.5), np.float64(0.01)]",7
Liver,Fenamiphos,2023-08-08,"[np.float64(0.02), np.float64(0.01)]",7
Liver,Fenazaquin,2024-06-16,"[np.float64(0.02), np.float64(0.01)]",7
Liver,Fenbuconazole,2025-08-24,"[np.float64(0.1), np.float64(0.05)]",7
Liver,Fenoxaprop-P,2008-09-01,"[np.float64(0.05), np.float64(0.1)]",7
Liver,Fenpicoxamid  (R),2023-06-22,"[np.float64(0.02), np.float64(0.01)]",14
Liver,Fenpropidin (R),2014-08-14,"[np.float64(0.5), np.float64(0.2), np.float64(0.02)]",14
Liver,Fenpropimorph (R),2023-10-21,"[np.float64(0.7), np.float64(0.01)]",14
Liver,Fenpyroximate  (R) (F),2023-06-22,"[np.float64(0.8), np.float64(0.01)]",21
Liver,"Fenvalerate (any ratio of constituent isomers (RR, SS, RS & SR) including esfenvalerate) (R)",2015-04-03,"[np.float64(0.02), np.float64(0.07)]",14
Liver,Flonicamid,2024-10-28,"[np.float64(0.2), np.float64(0.1)]",7
Liver,Fluazifop-P,2022-08-18,"[np.float64(0.04), np.float64(0.03)]",7
Liver,Flubendiamide,2022-05-14,"[np.float64(1.0), np.float64(0.01)]",7
Liver,Flumequine,2017-04-26,"[np.float64(0.5), np.float64(0.8)]",7
Liver,Fluopyram,2025-04-30,"[np.float64(0.3), np.float64(0.8), np.float64(0.5)]",7
Liver,Flupyradifurone,2025-04-30,"[np.float64(1.0), np.float64(0.01), np.float64(0.1)]",7
Liver,Fluroxypyr (R),2023-02-25,"[np.float64(0.04), np.float64(0.01), np.float64(0.07)]",14
Liver,Flutolanil,2022-04-14,"[np.float64(0.5), np.float64(0.05)]",7
Liver,Flutriafol,2024-10-29,"[np.float64(1.0), np.float64(0.03)]",7
Liver,Fluxapyroxad,2025-02-11,"[np.float64(0.02), np.float64(0.1)]",7
Liver,Fosetyl-Al,2022-08-18,"[np.float64(0.5), np.float64(0.8), np.float64(1.5), np.float64(0.7)]",7
Liver,"Glufosinatephosphinoyl]propionic acid (MPP) and N-acetyl-glufosinate (NAG), expressed as glufosinate)",2017-01-14,"[np.float64(3.0), np.float64(0.1)]",7
Liver,Glyphosate,2013-04-06,"[np.float64(0.05), np.float64(0.2)]",14
Liver,Imazalil (any ratio of constituent isomers),2020-07-09,"[np.float64(0.03), np.float64(0.02), np.float64(0.01)]",7
Liver,Imazapyr,2017-04-27,"[np.float64(0.2), np.float64(0.05)]",7
Liver,Isopyrazam,2019-04-25,"[np.float64(0.02), np.float64(0.01)]",7
Liver,Isoxaflutole,2023-06-22,"[np.float64(0.1), np.float64(0.2)]",7
Liver,Lambda-cyhalothrin (includes gamma-cyhalothrin),2025-02-11,"[np.float64(0.05), np.float64(0.03)]",7
Liver,Lufenuron (any ratio of constituent isomers),2020-07-09,"[np.float64(0.15), np.float64(0.02)]",7
Liver,"MCPA and MCPB (MCPA, MCPB including their salts, esters and conjugates expressed as MCPA) (R)",2014-06-05,"[np.float64(3.0), np.float64(0.1)]",28
Liver,Maleic hydrazide,2021-05-03,"[np.float64(0.1), np.float64(0.02)]",7
Liver,Mefentrifluconazole,2025-07-06,"[np.float64(0.7), np.float64(0.01), np.float64(0.02), np.float64(0.4), np.float64(0.03)]",7
Liver,Mepiquat,2025-07-06,"[np.float64(0.07), np.float64(0.6), np.float64(0.05), np.float64(0.5)]",7
Liver,Metalaxyl and metalaxyl-M (metalaxyl including other mixtures of constituent isomers including metalaxyl-M),2025-02-11,"[np.float64(0.05), np.float64(0.06)]",7
Liver,Metazachlor,2024-05-06,"[np.float64(0.4), np.float64(0.05), np.float64(0.3), np.float64(0.15)]",7
Liver,Methoxyfenozide,2026-01-06,"[np.float64(0.2), np.float64(0.01)]",7
Liver,Pendimethalin,2023-06-20,"[np.float64(0.05), np.float64(0.01)]",7
Liver,Phorate,2013-04-26,"[np.float64(0.02), np.float64(0.01)]",14
Liver,Phosphonic acid and its salts expressed as phosphonic acid,2025-04-29,"[np.float64(0.9), np.float64(0.5)]",7
Liver,Phoxim,2008-09-01,"[np.float64(0.02), np.float64(0.05)]",7
Liver,Pirimicarb,2016-08-16,"[np.float64(0.05), np.float64(0.01)]",7
Liver,Propamocarb,2025-07-23,"[np.float64(0.05), np.float64(0.2), np.float64(0.1)]",7
Liver,Prothioconazole: prothioconazole-desthio,2024-06-05,"[np.float64(0.5), np.float64(0.1)]",7
Liver,Pyrasulfotole,2008-09-01,"[np.float64(0.01), np.float64(1.0)]",7
Liver,Pyridate and hydrolysable conjugates of CL 9673 expressed as pyridate),2023-04-13,"[np.float64(0.2), np.float64(0.1), np.float64(0.05)]",7
Liver,Pyrimethanil,2024-05-06,"[np.float64(0.05), np.float64(0.1)]",7
Liver,Quinmerac,2023-02-21,"[np.float64(0.02), np.float64(0.07), np.float64(0.05)]",7
Liver,"Quizalofop and its conjugates, expressed as quizalofop (any ratio of constituent isomers))",2023-09-14,"[np.float64(0.03), np.float64(0.04), np.float64(0.02)]",7
Liver,Saflufenacil,2014-07-30,"[np.float64(0.3), np.float64(0.01), np.float64(0.6)]",7
Liver,"Spinosad (spinosad, sum of spinosyn A and spinosyn D)",2023-02-28,"[np.float64(1.5), np.float64(2.0), np.float64(0.7), np.float64(0.2)]",7
Liver,Spirodiclofen,2016-11-24,"[np.float64(0.01), np.float64(0.05)]",7
Liver,"Spirotetramat and spirotetramat-enol, expressed as spirotetramat",2023-06-20,"[np.float64(0.7), np.float64(0.02)]",7
Liver,Spiroxamine (R),2016-04-19,"[np.float64(0.3), np.float64(0.2), np.float64(0.02)]",14
Liver,Sulfoxaflor,2018-06-26,"[np.float64(0.6), np.float64(0.3)]",7
Liver,Tebuconazole,2018-11-01,"[np.float64(0.2), np.float64(0.1)]",7
Liver,Tebufenozide,2021-11-03,"[np.float64(0.05), np.float64(0.02)]",7
Liver,Tefluthrin (tefluthrin including other mixtures of constituent isomers),2025-07-23,"[np.float64(0.01), np.float64(0.02), np.float64(0.05)]",7
Liver,"Tembotrione and its metabolite M5 (4,6-dihydroxy tembotrione), expressed as tembotrione)",2020-04-07,"[np.float64(0.01), np.float64(0.05), np.float64(0.015)]",7
Liver,Tetraconazole,2023-09-26,"[np.float64(0.7), np.float64(0.9), np.float64(0.05), np.float64(1.5)]",7
Liver,Thiabendazole,2024-12-11,"[np.float64(0.01), np.float64(0.1)]",7
Liver,Triclopyr,2023-04-13,"[np.float64(0.06), np.float64(0.01)]",7
Liver,Trifloxystrobin  (R),2019-11-18,"[np.float64(0.04), np.float64(0.07)]",14
Liver,Trifloxystrobin (R),2024-12-11,"[np.float64(0.07), np.float64(0.04)]",14
Liver,Triflumuron,2024-06-11,"[np.float64(0.05), np.float64(0.01)]",7
Liver,"Trimethyl-sulfonium cation, resulting from the use of glyphosate",2008-09-01,"[np.float64(0.05), np.float64(0.5)]",14
Liver,"Trinexapac and its salts, expressed as trinexapac)",2017-07-11,"[np.float64(0.05), np.float64(0.01)]",7
Loquats/Japanese medlars,Bromide ion,2008-09-01,"[np.float64(20.0), np.float64(5.0)]",2
Lupins/lupini beans,Bromide ion,2008-09-01,"[np.float64(5.0), np.float64(50.0)]",2
Mace,Bromide ion,2008-09-01,"[np.float64(50.0), np.float64(400.0)]",2
Mace,Dichlorvos,2008-09-01,"[np.float64(0.02), np.float64(0.1)]",4
Maize/corn,Bromide ion,2008-09-01,"[np.float64(10.0), np.float64(50.0)]",2
Maize/corn,Terbuthylazine (R),2021-11-06,"[np.float64(0.02), np.float64(0.01)]",4
Mandarins,Bromide ion,2008-09-01,"[np.float64(5.0), np.float64(30.0)]",2
Mangoes,Bromide ion,2008-09-01,"[np.float64(10.0), np.float64(50.0)]",2
Mate/maté,Bromide ion,2008-09-01,"[np.float64(100.0), np.float64(50.0)]",2
Medlars,Bromide ion,2008-09-01,"[np.float64(20.0), np.float64(5.0)]",2
Melons,Aldrin and Dieldrin (Aldrin and dieldrin combined expressed as dieldrin),2008-09-01,"[np.float64(0.01), np.float64(0.03)]",4
Muscle,"1,4-dimethylnaphthalene (R)",2025-04-30,"[np.float64(0.03), np.float64(0.3)]",14
Muscle,"2,4-D",2023-02-25,"[np.float64(0.2), np.float64(0.05)]",7
Muscle,Abamectin (R),2023-08-20,"[np.float64(0.01), np.float64(0.02)]",14
Muscle,Acetamiprid,2025-08-20,"[np.float64(0.02), np.float64(0.5)]",7
Muscle,Amidosulfuron  (R),2025-07-23,"[np.float64(0.03), np.float64(0.02)]",14
Muscle,Aminopyralid,2022-05-10,"[np.float64(0.1), np.float64(0.01)]",7
Muscle,"Bicyclopyrone-6-(trifluoromethyl) pyridine-3-carboxylic acid (SYN503780) and (2-(2-hydroxyethoxymethyl)-6- (trifluoromethyl)pyridine-3-carboxylic acid (CSCD686480), expressed as bicyclopyrone)",2019-04-25,"[np.float64(0.02), np.float64(0.01)]",7
Muscle,Bifenthrin,2018-06-05,"[np.float64(0.2), np.float64(0.05)]",7
Muscle,Bixafen (R),2023-06-22,"[np.float64(0.8), np.float64(0.02)]",14
Muscle,Boscalid  (R),2022-08-18,"[np.float64(0.01), np.float64(0.2)]",14
Muscle,Captan,2019-07-11,"[np.float64(0.09), np.float64(0.03)]",7
Muscle,Chlorantraniliprole,2024-06-11,"[np.float64(0.03), np.float64(0.02)]",7
Muscle,Chlormequat,2022-08-14,"[np.float64(0.4), np.float64(0.3), np.float64(0.05)]",7
Muscle,Chlorotoluron,2014-08-25,"[np.float64(0.02), np.float64(0.05)]",7
Muscle,Clethodim,2008-09-01,"[np.float64(0.2), np.float64(0.05)]",14
Muscle,Clopyralid,2024-10-28,"[np.float64(0.05), np.float64(0.08)]",7
Muscle,Cyantraniliprole,2025-07-06,"[np.float64(0.2), np.float64(0.02)]",7
Muscle,"Cycloxydim including degradation and reaction products which can be determined as 3-(3-thianyl)glutaric acid S-dioxide (BH 517-TGSO2) and/or 3-hydroxy-3-(3-thianyl)glutaric acid S-dioxide (BH 517-5-OH-TGSO2) or derivatives thereof, calculated in total as cycloxydim",2025-04-17,"[np.float64(0.06), np.float64(0.1), np.float64(0.03)]",7
Muscle,Cypermethrin (cypermethrin including other mixtures of constituent isomers),2017-04-27,"[np.float64(2.0), np.float64(0.2), np.float64(0.1)]",14
Muscle,Cyromazine,2023-08-12,"[np.float64(0.01), np.float64(0.3)]",7
Muscle,Deltamethrin (cis-deltamethrin),2025-07-06,"[np.float64(0.03), np.float64(0.02)]",7
Muscle,Diazinon,2013-04-27,"[np.float64(0.02), np.float64(0.01)]",14
Muscle,Dicamba,2015-06-24,"[np.float64(0.05), np.float64(0.02), np.float64(0.5)]",7
Muscle,Dicofol,2013-04-26,"[np.float64(0.02), np.float64(0.1)]",14
Muscle,Difenoconazole,2024-10-28,"[np.float64(0.05), np.float64(0.1)]",7
Muscle,Difluoroacetic acid (DFA),2025-04-30,"[np.float64(0.4), np.float64(0.15), np.float64(0.2)]",7
Muscle,Dinotefuran,2014-06-05,"[np.float64(0.1), np.float64(0.02)]",7
Muscle,Disulfoton,2013-04-26,"[np.float64(0.02), np.float64(0.01)]",14
Muscle,"Emamectin B1a and its salts, expressed as emamectin B1a (free base) (R)",2024-06-11,"[np.float64(0.005), np.float64(0.01)]",14
Muscle,Etofenprox,2021-05-03,"[np.float64(0.05), np.float64(0.06), np.float64(0.01)]",7
Muscle,Famoxadone,2024-10-29,"[np.float64(0.05), np.float64(0.01)]",7
Muscle,Fenamiphos,2023-08-08,"[np.float64(0.02), np.float64(0.01)]",7
Muscle,Fenazaquin,2024-06-16,"[np.float64(0.02), np.float64(0.01)]",7
Muscle,Fenpicoxamid  (R),2023-06-22,"[np.float64(0.015), np.float64(0.01)]",14
Muscle,Fenpropimorph (R),2023-10-21,"[np.float64(0.01), np.float64(0.03)]",14
Muscle,Fenpyroximate  (R) (F),2023-06-22,"[np.float64(0.02), np.float64(0.01)]",21
Muscle,"Fenvalerate (any ratio of constituent isomers (RR, SS, RS & SR) including esfenvalerate) (R)",2015-04-03,"[np.float64(0.02), np.float64(0.025)]",14
Muscle,Flonicamid,2024-10-28,"[np.float64(0.15), np.float64(0.1)]",7
Muscle,Flubendiamide,2022-05-14,"[np.float64(2.0), np.float64(0.01)]",7
Muscle,Fludioxonil  (R),2022-08-10,"[np.float64(0.02), np.float64(0.01)]",14
Muscle,Flumequine,2017-04-26,"[np.float64(0.2), np.float64(0.4)]",7
Muscle,Fluopyram,2025-04-30,"[np.float64(0.15), np.float64(0.1), np.float64(0.07)]",7
Muscle,Flupyradifurone,2025-04-30,"[np.float64(0.3), np.float64(0.03), np.float64(0.01)]",7
Muscle,Fluvalinate resulting from the use of tau-fluvalinate,2022-02-14,"[np.float64(0.05), np.float64(0.015), np.float64(0.01)]",7
Muscle,Fluxapyroxad,2025-02-11,"[np.float64(0.015), np.float64(0.02)]",7
Muscle,Fosetyl-Al,2022-08-18,"[np.float64(0.7), np.float64(0.5)]",7
Muscle,Lambda-cyhalothrin (includes gamma-cyhalothrin),2025-02-11,"[np.float64(0.03), np.float64(0.15), np.float64(0.02)]",7
Muscle,Lufenuron (any ratio of constituent isomers),2020-07-09,"[np.float64(0.08), np.float64(0.02)]",7
Muscle,Maleic hydrazide,2021-05-03,"[np.float64(0.05), np.float64(0.1)]",7
Muscle,Mefentrifluconazole,2025-07-06,"[np.float64(0.04), np.float64(0.06), np.float64(0.01), np.float64(0.015)]",7
Muscle,Mepiquat,2025-07-06,"[np.float64(0.09), np.float64(0.05)]",7
Muscle,Phorate,2013-04-26,"[np.float64(0.05), np.float64(0.02), np.float64(0.01)]",14
Muscle,Phosphonic acid and its salts expressed as phosphonic acid,2025-04-29,"[np.float64(0.6), np.float64(0.5)]",7
Muscle,Phoxim,2008-09-01,"[np.float64(0.02), np.float64(0.05), np.float64(0.025)]",7
Muscle,Pirimicarb,2016-08-16,"[np.float64(0.05), np.float64(0.01)]",7
Muscle,Propamocarb,2025-07-23,"[np.float64(0.01), np.float64(0.02)]",7
Muscle,Pyrimethanil,2024-05-06,"[np.float64(0.1), np.float64(0.05)]",7
Muscle,"Spinosad (spinosad, sum of spinosyn A and spinosyn D)",2023-02-28,"[np.float64(0.2), np.float64(0.3), np.float64(0.1)]",7
Muscle,"Spirotetramat and spirotetramat-enol, expressed as spirotetramat",2023-06-20,"[np.float64(0.05), np.float64(0.02)]",7
Muscle,Spiroxamine (R),2016-04-19,"[np.float64(0.03), np.float64(0.02), np.float64(0.05)]",14
Muscle,Sulfoxaflor,2018-06-26,"[np.float64(0.3), np.float64(0.1)]",7
Muscle,Tebufenozide,2021-11-03,"[np.float64(0.01), np.float64(0.05), np.float64(0.02)]",7
Muscle,Tefluthrin (tefluthrin including other mixtures of constituent isomers),2025-07-23,"[np.float64(0.01), np.float64(0.05), np.float64(0.015)]",7
Muscle,Tetraconazole,2023-09-26,"[np.float64(0.01), np.float64(0.015)]",7
Muscle,Thiabendazole,2024-12-11,"[np.float64(0.01), np.float64(0.1)]",7
Muscle,Triclopyr,2023-04-13,"[np.float64(0.06), np.float64(0.01)]",7
Muscle,Triflumuron,2024-06-11,"[np.float64(0.01), np.float64(0.05)]",7
Muscle,"Trimethyl-sulfonium cation, resulting from the use of glyphosate",2008-09-01,"[np.float64(0.05), np.float64(0.2)]",14
Mustard seeds,Bromide ion,2008-09-01,"[np.float64(20.0), np.float64(5.0)]",2
Nutmeg,Bromide ion,2008-09-01,"[np.float64(50.0), np.float64(400.0)]",2
Nutmeg,Dichlorvos,2008-09-01,"[np.float64(0.02), np.float64(0.1)]",4
Oat,Bromide ion,2008-09-01,"[np.float64(50.0), np.float64(10.0)]",2
Oil palms fruits,Bromide ion,2008-09-01,"[np.float64(5.0), np.float64(20.0)]",2
Oil palms kernels,Bromide ion,2008-09-01,"[np.float64(20.0), np.float64(5.0)]",2
Olives for oil production,Bromide ion,2008-09-01,"[np.float64(20.0), np.float64(5.0)]",2
Oranges,Bromide ion,2008-09-01,"[np.float64(5.0), np.float64(30.0)]",2
Others (2),"1,1-dichloro-2,2-bis(4-ethylphenyl)ethane",2008-09-01,"[np.float64(0.01), np.float64(0.02), np.float64(0.1)]",94
Others (2),"1,2-dibromoethane (ethylene dibromide)",2008-09-01,"[np.float64(0.01), np.float64(0.02)]",94
Others (2),"1,2-dichloroethane (ethylene dichloride)",2008-09-01,"[np.float64(0.01), np.float64(0.1), np.float64(0.02)]",94
Others (2),"1,3-Dichloropropene",2015-10-28,"[np.float64(0.01), np.float64(0.02), np.float64(0.05)]",47
Others (2),"1,4-dimethylnaphthalene (R)",2025-04-30,"[np.float64(0.05), np.float64(1.5), np.float64(0.4), np.float64(3.0), np.float64(2.0), np.float64(0.3)]",94
Others (2),1-Naphthylacetamide and 1-naphthylacetic acid,2017-01-19,"[np.float64(0.1), np.float64(0.06)]",47
Others (2),1-methylcyclopropene,2020-11-17,"[np.float64(0.01), np.float64(0.05), np.float64(0.02)]",47
Others (2),"2,4,5-T",2015-12-30,"[np.float64(0.01), np.float64(0.05), np.float64(0.02)]",47
Others (2),"2,4-D",2023-02-25,"[np.float64(0.05), np.float64(0.1), np.float64(5.0), np.float64(1.0), np.float64(0.01), np.float64(0.2)]",47
Others (2),"2,4-DB",2024-11-06,"[np.float64(0.05), np.float64(0.01), np.float64(0.02)]",47
Others (2),"2-amino-4-methoxy-6-(trifluormethyl)-1,3,5-triazine (AMTT), resulting from the use of tritosulfuron",2017-01-14,"[np.float64(0.01), np.float64(0.001)]",47
Others (2),2-naphthyloxyacetic acid,2015-12-07,"[np.float64(0.01), np.float64(0.02), np.float64(0.05)]",47
Others (2),2-phenylphenol (R),2018-08-08,"[np.float64(10.0), np.float64(0.05), np.float64(0.01), np.float64(0.02)]",94
Others (2),6-Benzyladenine,2022-05-10,"[np.float64(0.01), np.float64(0.05), np.float64(0.02)]",47
Others (2),8-hydroxyquinoline,2023-02-22,"[np.float64(0.01), np.float64(0.02), np.float64(0.05)]",47
Others (2),Abamectin (R),2023-08-20,"[np.float64(0.01), np.float64(0.05), np.float64(0.02), np.float64(0.04), np.float64(0.08), np.float64(0.1)]",94
Others (2),Acephate,2013-04-26,"[np.float64(0.02), np.float64(0.2), np.float64(0.01), np.float64(0.05)]",94
Others (2),Acequinocyl,2023-02-23,"[np.float64(0.01), np.float64(0.4), np.float64(0.05), np.float64(0.6), np.float64(0.02)]",47
Others (2),Acetamiprid,2025-08-20,"[np.float64(0.3), np.float64(0.05), np.float64(0.02), np.float64(0.9), np.float64(0.01), np.float64(0.2), np.float64(0.6), np.float64(0.8), np.float64(3.0), np.float64(2.0), np.float64(0.4), np.float64(0.15), np.float64(0.07)]",47
Others (2),Acetochlor,2015-12-07,"[np.float64(0.01), np.float64(0.05), np.float64(0.02)]",47
Others (2),"Acibenzolar-S-methyl, expressed as acibenzolar-S-methyl)",2021-11-03,"[np.float64(0.02), np.float64(0.01), np.float64(0.05), np.float64(0.15), np.float64(0.3), np.float64(0.4), np.float64(0.2)]",47
Others (2),Aclonifen,2021-10-10,"[np.float64(0.01), np.float64(0.05), np.float64(0.08), np.float64(0.8)]",47
Others (2),Acrinathrin,2024-08-12,"[np.float64(0.01), np.float64(0.02), np.float64(0.05)]",47
Others (2),Alachlor,2013-04-26,"[np.float64(0.05), np.float64(0.01), np.float64(0.02)]",47
Others (2),Aldicarb,2011-10-21,"[np.float64(0.05), np.float64(0.02), np.float64(0.01)]",94
Others (2),Aldrin and Dieldrin (Aldrin and dieldrin combined expressed as dieldrin),2008-09-01,"[np.float64(0.01), np.float64(0.2), np.float64(0.006), np.float64(0.02), np.float64(0.1), np.float64(0.03)]",188
Others (2),Ametoctradin (R),2022-08-14,"[np.float64(0.03), np.float64(0.01), np.float64(0.05), np.float64(3.0), np.float64(60.0), np.float64(9.0), np.float64(1.5), np.float64(40.0)]",94
Others (2),Amidosulfuron  (R),2025-07-23,"[np.float64(0.01), np.float64(0.05), np.float64(0.02), np.float64(0.07)]",94
Others (2),Aminopyralid,2022-05-10,"[np.float64(0.05), np.float64(0.02), np.float64(0.01)]",47
Others (2),Amisulbrom,2022-05-14,"[np.float64(0.01), np.float64(0.05), np.float64(0.02)]",47
Others (2),"Amitraz (amitraz including the metabolites containing the 2,4 -dimethylaniline moiety expressed as amitraz)",2017-04-26,"[np.float64(0.05), np.float64(0.1), np.float64(0.01)]",47
Others (2),Amitrole,2020-05-18,"[np.float64(0.01), np.float64(0.02), np.float64(0.05)]",47
Others (2),Anilazine,2013-04-26,"[np.float64(0.01), np.float64(0.05), np.float64(0.02)]",47
Others (2),Anthraquinone,2015-05-18,"[np.float64(0.01), np.float64(0.02)]",47
Others (2),Aramite,2008-09-01,"[np.float64(0.01), np.float64(0.1)]",94
Others (2),Asulam,2015-05-13,"[np.float64(0.02), np.float64(0.1), np.float64(0.05)]",47
Others (2),Atrazine,2016-10-13,"[np.float64(0.1), np.float64(0.05)]",47
Others (2),Azadirachtin,2008-09-01,"[np.float64(0.01), np.float64(1.0)]",47
Others (2),Azimsulfuron,2024-08-12,"[np.float64(0.01), np.float64(0.02), np.float64(0.05)]",47
Others (2),Azinphos-ethyl,2008-09-01,"[np.float64(0.02), np.float64(0.01), np.float64(0.05)]",94
Others (2),Azinphos-methyl,2021-05-25,"[np.float64(0.01), np.float64(0.02), np.float64(0.5), np.float64(0.05)]",47
Others (2),Azocyclotin and Cyhexatin,2013-04-26,"[np.float64(0.01), np.float64(0.05), np.float64(0.02)]",94
Others (2),Azoxystrobin,2025-07-23,"[np.float64(0.01), np.float64(1.0), np.float64(10.0), np.float64(15.0), np.float64(3.0), np.float64(0.15), np.float64(0.3), np.float64(0.05), np.float64(60.0), np.float64(5.0), np.float64(2.0), np.float64(6.0), np.float64(70.0)]",47
Others (2),Barban,2015-12-30,"[np.float64(0.01), np.float64(0.02), np.float64(0.05)]",47
Others (2),Beflubutamid,2014-07-06,"[np.float64(0.01), np.float64(0.02), np.float64(0.05)]",47
Others (2),Benalaxyl including other mixtures of constituent isomers including benalaxyl-M,2023-08-08,"[np.float64(0.05), np.float64(0.01), np.float64(0.02)]",47
Others (2),Benfluralin,2015-05-18,"[np.float64(0.1), np.float64(0.02), np.float64(0.05)]",47
Others (2),Bensulfuron-methyl,2018-08-08,"[np.float64(0.01), np.float64(0.05), np.float64(0.02)]",47
Others (2),"Bentazone and 8-hydroxy bentazone (free and conjugated), expressed as bentazone)",2021-11-02,"[np.float64(0.03), np.float64(0.1), np.float64(0.15), np.float64(0.02), np.float64(0.3), np.float64(10.0)]",47
Others (2),"Benthiavalicarb (Benthiavalicarb-isopropyl(KIF-230 R-L) and its enantiomer (KIF-230 S-D) and its diastereomers(KIF-230 S-L and KIF-230 R-D), expressed as benthiavalicarb-isopropyl)",2014-11-13,"[np.float64(0.02), np.float64(0.01), np.float64(0.05)]",47
Others (2),Benzovindiflupyr,2024-06-11,"[np.float64(0.01), np.float64(0.2), np.float64(0.02), np.float64(0.05), np.float64(1.0), np.float64(0.08)]",47
Others (2),"Bicyclopyrone-6-(trifluoromethyl) pyridine-3-carboxylic acid (SYN503780) and (2-(2-hydroxyethoxymethyl)-6- (trifluoromethyl)pyridine-3-carboxylic acid (CSCD686480), expressed as bicyclopyrone)",2019-04-25,"[np.float64(0.02), np.float64(0.01)]",47
Others (2),Bifenazate,2024-10-14,"[np.float64(0.02), np.float64(0.01), np.float64(0.05)]",47
Others (2),Bifenox,2015-10-28,"[np.float64(0.01), np.float64(0.05), np.float64(0.02)]",47
Others (2),Bifenthrin,2018-06-05,"[np.float64(0.02), np.float64(0.05), np.float64(0.01), np.float64(0.1), np.float64(0.03), np.float64(0.4), np.float64(0.3), np.float64(1.0), np.float64(0.2)]",47
Others (2),Biphenyl,2011-10-05,"[np.float64(0.01), np.float64(0.05), np.float64(0.1)]",47
Others (2),Bispyribac,2024-05-06,"[np.float64(0.01), np.float64(0.02), np.float64(0.05)]",47
Others (2),Bitertanol,2017-11-03,"[np.float64(0.01), np.float64(0.02), np.float64(0.05)]",47
Others (2),Bixafen (R),2023-06-22,"[np.float64(0.01), np.float64(0.02), np.float64(0.05), np.float64(0.04), np.float64(0.2), np.float64(0.06), np.float64(0.09), np.float64(0.9)]",94
Others (2),Boscalid  (R),2022-08-18,"[np.float64(0.9), np.float64(0.05), np.float64(0.01), np.float64(2.0), np.float64(0.15), np.float64(0.5), np.float64(3.0), np.float64(0.02), np.float64(0.06), np.float64(9.0), np.float64(4.0), np.float64(50.0), np.float64(10.0), np.float64(5.0), np.float64(15.0), np.float64(0.4)]",94
Others (2),Bromide ion,2008-09-01,"[np.float64(50.0), np.float64(5.0), np.float64(400.0), np.float64(30.0), np.float64(0.05), np.float64(20.0), np.float64(70.0), np.float64(10.0), np.float64(100.0)]",94
Others (2),Bromophos-ethyl,2015-12-30,"[np.float64(0.01), np.float64(0.05), np.float64(0.02)]",47
Others (2),Bromopropylate,2023-10-21,"[np.float64(0.01), np.float64(0.05), np.float64(0.02)]",47
Others (2),"Bromoxynil and its salts, expressed as bromoxynil",2023-08-08,"[np.float64(0.05), np.float64(0.01), np.float64(0.02)]",47
Others (2),Bromuconazole,2019-08-13,"[np.float64(0.01), np.float64(0.02), np.float64(0.05)]",47
Others (2),Bupirimate,2015-06-25,"[np.float64(0.05), np.float64(0.3), np.float64(1.0), np.float64(1.5)]",47
Others (2),Bupirimate (R) (F),2021-05-17,"[np.float64(0.01), np.float64(0.7), np.float64(0.05), np.float64(0.02), np.float64(1.5), np.float64(0.3), np.float64(2.0)]",141
Others (2),Buprofezin,2019-08-13,"[np.float64(0.01), np.float64(0.05), np.float64(0.02)]",47
Others (2),Butralin,2014-08-25,"[np.float64(0.01), np.float64(0.05), np.float64(0.02)]",47
Others (2),Butylate,2013-04-26,"[np.float64(0.01), np.float64(0.05), np.float64(0.02)]",47
Others (2),Camphechlor (Toxaphene) (R),2015-12-30,"[np.float64(0.01), np.float64(0.02), np.float64(0.05)]",94
Others (2),Captafol,2013-04-26,"[np.float64(0.01), np.float64(0.02), np.float64(0.1), np.float64(0.05)]",47
Others (2),Captan,2019-07-11,"[np.float64(0.03), np.float64(0.1), np.float64(0.07), np.float64(0.06), np.float64(10.0)]",47
Others (2),Carbaryl,2015-05-07,"[np.float64(0.02), np.float64(0.01), np.float64(0.05), np.float64(0.1), np.float64(0.5), np.float64(0.8)]",94
Others (2),Carbendazim and benomyl,2012-01-01,"[np.float64(0.1), np.float64(0.05), np.float64(0.2), np.float64(0.01)]",94
Others (2),Carbetamide,2024-04-25,"[np.float64(0.01), np.float64(0.05), np.float64(0.02)]",47
Others (2),Carbofuran and 3-OH carbofuran expressed as carbofuran),2015-10-03,"[np.float64(0.01), np.float64(0.05), np.float64(0.001), np.float64(0.003), np.float64(0.002), np.float64(0.02), np.float64(0.005)]",94
