Active Ingredient,Crop,MRL,Update Date,Pending for regulations update
"ABAMECTIN","CELERIAC","0.010","1996-01-01T00:00:00",
"ABAMECTIN","CABBAGE",,"2022-08-21T00:00:00","0.050"
"ABAMECTIN","CAULIFLOWER",,"2025-07-08T00:00:00","0.500"
"ABAMECTIN","MELON","0.010","1996-01-01T00:00:00",
"ABAMECTIN","CUCUMBER","0.010","1996-01-01T00:00:00",
"ABAMECTIN","PUMPKINS","0.010","2015-11-15T00:00:00",
"ABAMECTIN","WATERMELON","0.010","1996-01-01T00:00:00",
"ABAMECTIN","CHICK PEA","0.020","2013-01-09T00:00:00",
"ABAMECTIN","BEET, GREENS",,"2023-02-20T00:00:00","0.050"
"ABAMECTIN","CORIANDER",,"2023-02-20T00:00:00","0.050"
"ABAMECTIN","PEPPER","0.020","1996-01-01T00:00:00","0.050"
"ABAMECTIN","EGG PLANT","0.010","1996-01-01T00:00:00",
"ABAMECTIN","TOMATO","0.020","2005-07-20T00:00:00",
"ABAMECTIN","RED SWEET PEPPER","0.020","2013-01-09T00:00:00",
"ABAMECTIN","SCARLET","0.010","2015-11-15T00:00:00",
"ABAMECTIN","CARROT","0.010","2015-08-13T00:00:00",
"ABAMECTIN","ONION","0.010","2005-07-20T00:00:00",
"ABAMECTIN","COTTON","0.010","2005-07-20T00:00:00",
"ABAMECTIN","PEANUT","0.010","1996-01-01T00:00:00",
"ABAMECTIN","OREGANO",,"2023-02-20T00:00:00","0.050"
"ABAMECTIN","AVOCADO","0.020","2005-07-20T00:00:00",
"ABAMECTIN","APPLE","0.020","1999-01-01T00:00:00","0.050"
"ABAMECTIN","PEAR","0.020","2005-07-20T00:00:00",
"ABAMECTIN","PLUM","0.010","2010-05-24T00:00:00",
"ABAMECTIN","NECTARINE","0.020","1999-01-01T00:00:00",
"ABAMECTIN","PEACH","0.020","1996-01-01T00:00:00",
"ABAMECTIN","DATE","0.010","2010-01-03T00:00:00",
"ABAMECTIN","OLIVES","0.010","2010-05-24T00:00:00",
"ABAMECTIN","BASIL","0.050","2013-01-09T00:00:00",
"ABAMECTIN","CHIVES","0.050","2013-01-09T00:00:00",
"ABAMECTIN","DILL",,"2023-02-20T00:00:00","0.050"
"ABAMECTIN","MARJORAM",,"2023-02-20T00:00:00","0.050"
"ABAMECTIN","MINT","0.050","2013-01-09T00:00:00",
"ABAMECTIN","PARSLEY (roots and leaves)","0.050","2013-01-09T00:00:00",
"ABAMECTIN","ROSMARINE","0.050","2013-01-09T00:00:00",
"ABAMECTIN","SAGE",,"2023-02-20T00:00:00","0.050"
"ABAMECTIN","ESTRAGON","0.050","2013-01-09T00:00:00",
"ABAMECTIN","ROKET",,"2023-02-20T00:00:00","0.050"
"ABAMECTIN","ROKULA",,"2023-02-20T00:00:00","0.050"
"ABAMECTIN","CHERBIL",,"2023-02-20T00:00:00","0.050"
"ABAMECTIN","HYSSOP","0.050","2013-01-09T00:00:00",
"ABAMECTIN","SPRING ONION",,"2023-02-20T00:00:00","0.050"
"ABAMECTIN","RUMEX CRISPUS",,"2023-02-20T00:00:00","0.050"
"ABAMECTIN","STEVIA",,"2023-02-20T00:00:00","0.050"
"ACEQUINOCYL","THYME","0.700","2013-09-15T00:00:00",
"ACEQUINOCYL","STRAWBERRY","0.020","2006-07-20T00:00:00",
"ACEQUINOCYL","CELERIAC",,"2024-02-28T00:00:00","0.700"
"ACEQUINOCYL","MELON","0.050","2007-05-06T00:00:00",
"ACEQUINOCYL","CUCUMBER","0.050","2007-01-01T00:00:00",
"ACEQUINOCYL","WATERMELON","0.050","2010-06-21T00:00:00",
"ACEQUINOCYL","CORIANDER","0.700","2013-09-15T00:00:00",
"ACEQUINOCYL","LETTUCE",,"2024-02-28T00:00:00","1.000"
"ACEQUINOCYL","PEPPER","0.700","2011-10-04T00:00:00",
"ACEQUINOCYL","EGG PLANT","0.700","2010-02-18T00:00:00",
"ACEQUINOCYL","TOMATO","0.700","2007-01-01T00:00:00",
"ACEQUINOCYL","APPLE","0.020","2006-07-20T00:00:00",
"ACEQUINOCYL","BASIL","0.700","2013-09-15T00:00:00",
"ACEQUINOCYL","CHIVES","0.700","2013-09-15T00:00:00",
"ACEQUINOCYL","DILL","0.700","2013-09-15T00:00:00",
"ACEQUINOCYL","MINT","0.700","2013-09-15T00:00:00",
"ACEQUINOCYL","PARSLEY (roots and leaves)","0.700","2013-09-15T00:00:00",
"ACEQUINOCYL","ROSMARINE","0.700","2013-09-15T00:00:00",
"ACEQUINOCYL","SAGE","0.700","2013-09-15T00:00:00",
"ACEQUINOCYL","ESTRAGON","0.700","2013-09-15T00:00:00",
"ACEQUINOCYL","ROKET",,"2019-04-11T00:00:00","0.700"
"ACEQUINOCYL","ROKULA","0.700","2013-09-15T00:00:00",
"ACEQUINOCYL","SPRING ONION","0.700","2013-09-15T00:00:00",
"ACETAMIPRID","THYME","3.000","2011-12-19T00:00:00",
"ACETAMIPRID","GRAPES","0.050","1999-05-15T00:00:00",
"ACETAMIPRID","CITRUS FRUIT","0.050","2003-11-05T00:00:00","0.250"
"ACETAMIPRID","CELERIAC","3.000","2011-12-19T00:00:00",
"ACETAMIPRID","BRASSICA","0.050","2013-05-13T00:00:00","יתבטל"
"ACETAMIPRID","CABBAGE","0.050","2013-05-13T00:00:00",
"ACETAMIPRID","BROCCOLI","0.050","2013-05-13T00:00:00",
"ACETAMIPRID","CAULIFLOWER","0.050","2013-05-13T00:00:00",
"ACETAMIPRID","MELON","0.050","2001-05-24T00:00:00",
"ACETAMIPRID","CUCUMBER","0.050","2001-07-15T00:00:00",
"ACETAMIPRID","PUMPKINS","0.020","2015-11-16T00:00:00",
"ACETAMIPRID","SQUASH","0.050","2001-05-24T00:00:00",
"ACETAMIPRID","WATERMELON","0.050","2001-05-24T00:00:00",
"ACETAMIPRID","CORIANDER","3.000","2011-12-19T00:00:00",
"ACETAMIPRID","CHINESE CABBAGE",,"2019-06-03T00:00:00","0.050"
"ACETAMIPRID","KALE",,"2019-06-03T00:00:00","0.050"
"ACETAMIPRID","LETTUCE","0.050","2015-11-12T00:00:00",
"ACETAMIPRID","PEPPER","0.050","2001-07-15T00:00:00",
"ACETAMIPRID","EGG PLANT","0.050","2001-07-15T00:00:00",
"ACETAMIPRID","TOMATO","0.200","2001-05-24T00:00:00","0.300"
"ACETAMIPRID","SCARLET","0.020","2015-11-16T00:00:00",
"ACETAMIPRID","BEETROOT",,"2023-09-27T00:00:00","0.030"
"ACETAMIPRID","CARROT","0.050","2013-09-16T00:00:00",
"ACETAMIPRID","COTTON","0.050","1999-01-01T00:00:00",
"ACETAMIPRID","ALMOND","0.100","2014-08-04T00:00:00",
"ACETAMIPRID","MANGO",,"2024-02-28T00:00:00","0.150"
"ACETAMIPRID","PERSIMMON","0.100","2005-09-19T00:00:00",
"ACETAMIPRID","POMEGRANATE","0.100","2010-06-21T00:00:00",
"ACETAMIPRID","APPLE","0.050","2001-07-15T00:00:00",
"ACETAMIPRID","PEAR","0.050","1999-01-01T00:00:00",
"ACETAMIPRID","PLUM","0.050","2010-08-03T00:00:00",
"ACETAMIPRID","APRICOT","0.050","2010-08-03T00:00:00",
"ACETAMIPRID","NECTARINE","0.050","2001-07-15T00:00:00",
"ACETAMIPRID","PEACH","0.050","2001-07-15T00:00:00",
"ACETAMIPRID","OLIVES","0.050","2009-01-14T00:00:00",
"ACETAMIPRID","CORN","0.050","2013-09-16T00:00:00",
"ACETAMIPRID","BASIL","3.000","2011-12-19T00:00:00",
"ACETAMIPRID","DILL","3.000","2011-12-19T00:00:00",
"ACETAMIPRID","MARJORAM","3.000","2012-06-13T00:00:00",
"ACETAMIPRID","MINT","3.000","2011-12-19T00:00:00",
"ACETAMIPRID","PARSLEY (roots and leaves)","3.000","2011-12-19T00:00:00",
"ACETAMIPRID","ROSMARINE","3.000","2011-12-19T00:00:00",
"ACETAMIPRID","SAGE","3.000","2011-12-19T00:00:00",
"ACETAMIPRID","ESTRAGON","3.000","2011-12-19T00:00:00",
"ACETAMIPRID","ROKET",,"2019-04-11T00:00:00","3.000"
"ACETAMIPRID","ROKULA","3.000","2011-12-19T00:00:00",
"ACETAMIPRID","CYMBOPOGON","3.000","2011-12-19T00:00:00",
"ACETAMIPRID","SPRING ONION","3.000","2011-12-19T00:00:00",
"ACIBENZOLAR-S-METHYL","PEPPER",,"2023-11-14T00:00:00","0.070"
"ACIBENZOLAR-S-METHYL","EGG PLANT",,"2022-12-26T00:00:00","0.050"
"ACIBENZOLAR-S-METHYL","TOMATO",,"2022-08-21T00:00:00","0.050"
"ACLONIFEN","CELERIAC",,"2024-05-13T00:00:00","0.010"
"ACLONIFEN","CHICK PEA","0.020","2013-01-09T00:00:00",
"ACLONIFEN","CORIANDER","0.020","2013-01-09T00:00:00",
"ACLONIFEN","TOMATO","0.020","2013-01-09T00:00:00",
"ACLONIFEN","SWEET POTATO","0.020","2013-01-09T00:00:00",
"ACLONIFEN","ONION","0.010","2014-08-04T00:00:00",
"ACLONIFEN","SUNFLOWER",,"2024-05-13T00:00:00","0.010"
"ACLONIFEN","DILL","0.020","2013-01-09T00:00:00",
"ACLONIFEN","PARSLEY (roots and leaves)","0.020","2013-01-09T00:00:00",
"ACRINATHRIN","GRAPES","0.300","2009-11-09T00:00:00",
"ACRINATHRIN","STRAWBERRY","0.200","1997-12-18T00:00:00",
"ACRINATHRIN","CUCUMBER","0.200","1997-12-18T00:00:00",
"ACRINATHRIN","PEPPER","0.100","1998-07-16T00:00:00",
"ACRINATHRIN","EGG PLANT","0.200","1997-12-18T00:00:00",
"ACRINATHRIN","CARROT","0.020","2015-11-17T00:00:00",
"ACRINATHRIN","ALMOND","0.200","2005-07-21T00:00:00",
"ACRINATHRIN","PERSIMMON","0.100","2011-02-02T00:00:00",
"ACRINATHRIN","POMEGRANATE","0.050","2011-01-09T00:00:00",
"ACRINATHRIN","PEAR","0.200","2005-07-21T00:00:00",
"ACRINATHRIN","PLUM","0.200","2005-07-21T00:00:00",
"ACRINATHRIN","APRICOT","0.200","2005-07-21T00:00:00",
"ACRINATHRIN","CHERRY","0.200","2010-06-21T00:00:00",
"ACRINATHRIN","NECTARINE","0.200","2005-07-21T00:00:00",
"ACRINATHRIN","PEACH","0.200","2005-07-21T00:00:00",
"ACRINATHRIN","OLIVES","0.200","2011-11-16T00:00:00",
"AFIDOPYROPEN","GRAPES",,"2023-02-12T00:00:00","0.400"
"AFIDOPYROPEN","CABBAGE",,"2022-12-04T00:00:00","0.080"
"AFIDOPYROPEN","BROCCOLI",,"2024-08-19T00:00:00","0.020"
"AFIDOPYROPEN","CAULIFLOWER",,"2024-08-19T00:00:00","0.020"
"AFIDOPYROPEN","KOHLRABI",,"2024-08-19T00:00:00","0.030"
"AFIDOPYROPEN","MELON",,"2024-08-19T00:00:00","0.020"
"AFIDOPYROPEN","CUCUMBER",,"2022-12-04T00:00:00","0.080"
"AFIDOPYROPEN","SQUASH",,"2024-08-19T00:00:00","0.050"
"AFIDOPYROPEN","WATERMELON",,"2025-07-07T00:00:00","0.010"
"AFIDOPYROPEN","PEPPER",,"2023-02-12T00:00:00","0.050"
"AFIDOPYROPEN","EGG PLANT",,"2024-08-19T00:00:00","0.020"
"AFIDOPYROPEN","TOMATO",,"2022-12-04T00:00:00","0.100"
"AFIDOPYROPEN","ALMOND",,"2023-02-12T00:00:00","0.050"
"AFIDOPYROPEN","POMEGRANATE",,"2024-08-19T00:00:00","0.020"
"AFIDOPYROPEN","NECTARINE",,"2023-02-12T00:00:00","0.050"
"AFIDOPYROPEN","PEACH",,"2022-12-04T00:00:00","0.200"
"ALACHLOR","COTTON","0.020","2013-01-09T00:00:00","יתבטל"
"ALACHLOR","PEANUT","0.020","2013-01-09T00:00:00","יתבטל"
"ALACHLOR","SUNFLOWER","0.020","2013-01-09T00:00:00","יתבטל"
"ALACHLOR","CORN","0.020","2013-01-09T00:00:00","יתבטל"
"ALDRIN","CARROT","0.100","1996-01-01T00:00:00",
"ALDRIN","MILK","0.006","1999-01-01T00:00:00",
"ALDRIN","MEAT","0.200","1996-01-01T00:00:00",
"ALDRIN","EGGS","0.100","1999-01-01T00:00:00",
"ALDRIN","POULTRY MEAT","0.200","1999-01-01T00:00:00",
"ALDRIN","CEREALS","0.020","1996-01-01T00:00:00",
"AMETOCTRADIN","GRAPES","0.500","2015-11-16T00:00:00",
"AMETOCTRADIN","POTATO","0.020","2016-07-11T00:00:00",
"AMETOCTRADIN","MELON",,"2019-06-16T00:00:00","0.050"
"AMETOCTRADIN","CUCUMBER","0.020","2016-07-11T00:00:00",
"AMETOCTRADIN","SQUASH","0.050","2015-11-16T00:00:00",
"AMETOCTRADIN","TOMATO","0.020","2016-07-11T00:00:00",
"AMETOCTRADIN","ONION","0.100","2016-07-11T00:00:00",
"AMINOTRIAZOLE","GRAPES","0.020","2013-01-09T00:00:00","יתבטל"
"AMINOTRIAZOLE","CITRUS FRUIT","0.020","2013-01-09T00:00:00","יתבטל"
"AMINOTRIAZOLE","CHICK PEA","0.020","2013-01-09T00:00:00","יתבטל"
"AMINOTRIAZOLE","TOMATO","0.020","2013-01-09T00:00:00","יתבטל"
"AMINOTRIAZOLE","COTTON","0.020","2013-01-09T00:00:00","יתבטל"
"AMINOTRIAZOLE","SUNFLOWER","0.020","2013-01-09T00:00:00","יתבטל"
"AMINOTRIAZOLE","ALMOND","0.020","2013-01-09T00:00:00","יתבטל"
"AMINOTRIAZOLE","PECAN","0.020","2013-01-09T00:00:00","יתבטל"
"AMINOTRIAZOLE","AVOCADO","0.020","2013-01-09T00:00:00","יתבטל"
"AMINOTRIAZOLE","FEIJOA","0.020","2013-01-09T00:00:00","יתבטל"
"AMINOTRIAZOLE","KIWI","0.020","2013-01-09T00:00:00","יתבטל"
"AMINOTRIAZOLE","MANGO","0.020","2013-01-09T00:00:00","יתבטל"
"AMINOTRIAZOLE","PERSIMMON","0.020","2013-01-09T00:00:00","יתבטל"
"AMINOTRIAZOLE","APPLE","0.020","2013-01-09T00:00:00","יתבטל"
"AMINOTRIAZOLE","PEAR","0.020","2013-01-09T00:00:00","יתבטל"
"AMINOTRIAZOLE","PLUM","0.020","2013-01-09T00:00:00","יתבטל"
"AMINOTRIAZOLE","APRICOT","0.020","2013-01-09T00:00:00","יתבטל"
"AMINOTRIAZOLE","PEACH","0.020","2013-01-09T00:00:00","יתבטל"
"AMINOTRIAZOLE","CAROB","0.020","2013-01-09T00:00:00","יתבטל"
"AMINOTRIAZOLE","OLIVES","0.020","2013-01-09T00:00:00","יתבטל"
"AMINOTRIAZOLE","GUAVA","0.020","2013-01-09T00:00:00","יתבטל"
"AMINOTRIAZOLE","CORN","0.020","2013-01-09T00:00:00","יתבטל"
"AMINOTRIAZOLE","SORGHUM","0.020","2013-01-09T00:00:00","יתבטל"
"AMINOTRIAZOLE","ANONA","0.020","2013-01-09T00:00:00","יתבטל"
"AMITRAZ","EDIBLE OFFAL","0.200","2005-07-21T00:00:00",
"AMITRAZ","COTTON","0.500","1996-01-01T00:00:00","יתבטל"
"AMITRAZ","PEANUT","0.500","2005-07-21T00:00:00","יתבטל"
"AMITRAZ","PERSIMMON","0.500","1999-01-01T00:00:00","יתבטל"
"AMITRAZ","APPLE","0.500","1996-01-01T00:00:00","יתבטל"
"AMITRAZ","PEAR","0.500","1996-01-01T00:00:00","יתבטל"
"AMITRAZ","PLUM","0.500","1996-01-01T00:00:00","יתבטל"
"AMITRAZ","PEACH","0.500","1996-01-01T00:00:00","יתבטל"
"AMITRAZ","OLIVES","0.500","2005-07-21T00:00:00","יתבטל"
"AMITRAZ","HONEY","0.200","2017-12-28T00:00:00",
"ATRAZINE","MILK","0.020","1999-01-01T00:00:00",
"ATRAZINE","MEAT","0.020","1999-01-01T00:00:00",
"ATRAZINE","EGGS","0.020","1999-01-01T00:00:00",
"ATRAZINE","POULTRY MEAT","0.020","2005-07-21T00:00:00",
"ATRAZINE","CORN","0.010","2005-12-11T00:00:00",
"ATRAZINE","SORGHUM","0.200","2013-01-09T00:00:00",
"AZOCYCLOTIN","STRAWBERRY","0.500","1996-01-01T00:00:00","יתבטל"
"AZOCYCLOTIN","EGG PLANT","0.100","1996-01-01T00:00:00","יתבטל"
"AZOCYCLOTIN","TOMATO","0.100","1996-01-01T00:00:00","יתבטל"
"AZOCYCLOTIN","COTTON","0.100","1996-01-01T00:00:00","יתבטל"
"AZOCYCLOTIN","PEANUT","1.000","1996-01-01T00:00:00","יתבטל"
"AZOCYCLOTIN","APPLE","1.000","1996-01-01T00:00:00","יתבטל"
"AZOCYCLOTIN","PEAR","2.000","1996-01-01T00:00:00","יתבטל"
"AZOXYSTROBIN","CLOVER",,"2025-06-25T00:00:00","0.300"
"AZOXYSTROBIN","THYME","0.600","2009-10-13T00:00:00",
"AZOXYSTROBIN","GRAPES","0.600","2005-05-26T00:00:00",
"AZOXYSTROBIN","CITRUS FRUIT","0.300","2000-01-01T00:00:00",
"AZOXYSTROBIN","POTATO","0.050","2000-01-01T00:00:00",
"AZOXYSTROBIN","CELERIAC","0.500","2007-08-30T00:00:00",
"AZOXYSTROBIN","CABBAGE",,"2021-08-23T00:00:00","0.100"
"AZOXYSTROBIN","BROCCOLI",,"2021-08-23T00:00:00","0.200"
"AZOXYSTROBIN","CAULIFLOWER",,"2021-08-23T00:00:00","0.100"
"AZOXYSTROBIN","MELON","0.020","2008-07-27T00:00:00",
"AZOXYSTROBIN","CUCUMBER","0.500","2016-07-11T00:00:00",
"AZOXYSTROBIN","SQUASH","0.050","2016-09-06T00:00:00",
"AZOXYSTROBIN","WATERMELON","0.010","2008-08-26T00:00:00",
"AZOXYSTROBIN","CHICK PEA","0.050","2005-08-17T00:00:00",
"AZOXYSTROBIN","CORIANDER","0.600","2009-10-13T00:00:00",
"AZOXYSTROBIN","PEPPER","0.500","2005-05-26T00:00:00",
"AZOXYSTROBIN","EGG PLANT","0.500","2005-05-26T00:00:00",
"AZOXYSTROBIN","TOMATO","0.500","2016-06-08T00:00:00",
"AZOXYSTROBIN","RED SWEET PEPPER","0.500","2013-01-09T00:00:00",
"AZOXYSTROBIN","PEAS","1.000","2008-08-20T00:00:00",
"AZOXYSTROBIN","BEANS","0.010","2016-05-23T00:00:00",
"AZOXYSTROBIN","BEETROOT",,"2022-12-04T00:00:00","0.020"
"AZOXYSTROBIN","CARROT","1.000","2004-06-08T00:00:00",
"AZOXYSTROBIN","ONION","0.050","2005-08-17T00:00:00",
"AZOXYSTROBIN","COTTON","0.020","2003-07-29T00:00:00",
"AZOXYSTROBIN","PEANUT","0.010","2011-01-09T00:00:00",
"AZOXYSTROBIN","SUNFLOWER","0.050","2011-05-17T00:00:00",
"AZOXYSTROBIN","ALMOND","2.000","2005-12-07T00:00:00",
"AZOXYSTROBIN","GARLIC","0.050","2005-08-17T00:00:00",
"AZOXYSTROBIN","MANGO","0.050","2015-11-16T00:00:00",
"AZOXYSTROBIN","PERSIMMON","0.100","2009-06-02T00:00:00",
"AZOXYSTROBIN","POMEGRANATE","0.200","2012-12-02T00:00:00",
"AZOXYSTROBIN","APPLE","0.300","2013-05-13T00:00:00",
"AZOXYSTROBIN","PLUM","0.050","2007-05-06T00:00:00",
"AZOXYSTROBIN","APRICOT","0.700","2009-04-05T00:00:00",
"AZOXYSTROBIN","CHERRY",,"2023-03-15T00:00:00","0.100"
"AZOXYSTROBIN","NECTARINE","0.100","2007-05-06T00:00:00",
"AZOXYSTROBIN","PEACH","0.200","2008-08-27T00:00:00",
"AZOXYSTROBIN","OLIVES","0.100","2010-11-25T00:00:00",
"AZOXYSTROBIN","BARLEY",,"2025-06-25T00:00:00","0.050"
"AZOXYSTROBIN","CORN","0.020","2015-11-17T00:00:00",
"AZOXYSTROBIN","OAT","0.050","2013-01-09T00:00:00",
"AZOXYSTROBIN","WHEAT","0.050","2013-01-09T00:00:00",
"AZOXYSTROBIN","BASIL","2.000","2012-11-27T00:00:00",
"AZOXYSTROBIN","CHIVES","15.000","2012-01-10T00:00:00",
"AZOXYSTROBIN","DILL","2.500","2007-06-12T00:00:00",
"AZOXYSTROBIN","MINT","2.000","2008-01-20T00:00:00",
"AZOXYSTROBIN","PARSLEY (roots and leaves)","0.100","2006-04-04T00:00:00",
"AZOXYSTROBIN","ROSMARINE","0.600","2009-10-13T00:00:00",
"AZOXYSTROBIN","SAGE","2.000","2008-01-20T00:00:00",
"AZOXYSTROBIN","ESTRAGON","0.600","2009-10-13T00:00:00",
"AZOXYSTROBIN","ROKET",,"2019-04-11T00:00:00","15.000"
"AZOXYSTROBIN","ROKULA","15.000","2012-01-10T00:00:00",
"AZOXYSTROBIN","SPRING ONION","15.000","2012-01-10T00:00:00",
"BENALAXYL","GRAPES","0.300","2016-06-08T00:00:00",
"BENALAXYL","POTATO","0.020","1996-01-01T00:00:00",
"BENALAXYL","BRASSICA","0.500","1996-01-01T00:00:00",
"BENALAXYL","CABBAGE","0.500","2021-08-17T00:00:00",
"BENALAXYL","BROCCOLI","0.500","2021-08-17T00:00:00",
"BENALAXYL","CAULIFLOWER","0.500","2021-08-17T00:00:00",
"BENALAXYL","CUCUMBER","0.050","1996-01-01T00:00:00",
"BENALAXYL","TOMATO","0.300","2015-11-17T00:00:00",
"BENALAXYL","CARROT","0.050","1996-01-01T00:00:00",
"BENALAXYL","ONION","0.100","2013-09-23T00:00:00",
"BENFLURALIN","MELON","0.020","2013-01-09T00:00:00","יתבטל"
"BENFLURALIN","WATERMELON","0.020","2013-01-09T00:00:00","יתבטל"
"BENFLURALIN","CHICK PEA","0.020","2013-01-09T00:00:00","יתבטל"
"BENFLURALIN","LETTUCE","0.020","2013-01-09T00:00:00","יתבטל"
"BENFLURALIN","PEANUT","0.020","2013-01-09T00:00:00","יתבטל"
"BENTAZONE","CLOVER","0.200","2005-08-17T00:00:00",
"BENTAZONE","VETCH","0.200","2005-08-17T00:00:00",
"BENTAZONE","PEAS","0.200","1999-01-01T00:00:00",
"BENTAZONE","BEANS","0.200","1999-01-01T00:00:00",
"BENTAZONE","ONION","0.100","1999-01-01T00:00:00",
"BENTAZONE","PEANUT","0.050","1999-01-01T00:00:00",
"BENTAZONE","WHEAT","0.100","1999-01-01T00:00:00",
"BENTHIAVALICARB- ISOPROPYL","GRAPES","0.200","2017-12-28T00:00:00",
"BENTHIAVALICARB- ISOPROPYL","POTATO","0.020","2005-12-07T00:00:00",
"BENTHIAVALICARB- ISOPROPYL","CABBAGE",,"2023-07-12T00:00:00","0.070"
"BENTHIAVALICARB- ISOPROPYL","CAULIFLOWER",,"2023-06-04T00:00:00","0.020"
"BENTHIAVALICARB- ISOPROPYL","MELON","0.050","2014-02-16T00:00:00",
"BENTHIAVALICARB- ISOPROPYL","CUCUMBER","0.050","2005-12-07T00:00:00","0.150"
"BENTHIAVALICARB- ISOPROPYL","SQUASH",,"2020-09-15T00:00:00","0.050"
"BENTHIAVALICARB- ISOPROPYL","CHICK PEA",,"2024-09-09T00:00:00","0.050"
"BENTHIAVALICARB- ISOPROPYL","LETTUCE",,"2023-07-12T00:00:00","1.400"
"BENTHIAVALICARB- ISOPROPYL","TOMATO",,"2006-07-20T00:00:00","0.050"
"BENTHIAVALICARB- ISOPROPYL","ONION",,"2023-06-04T00:00:00","0.010"
"BIFENAZATE","THYME","1.000","2010-05-12T00:00:00",
"BIFENAZATE","STRAWBERRY","1.000","2007-05-06T00:00:00",
"BIFENAZATE","CELERIAC","1.000","2012-07-02T00:00:00",
"BIFENAZATE","MELON","0.020","2009-02-05T00:00:00",
"BIFENAZATE","CUCUMBER","0.050","2003-05-04T00:00:00",
"BIFENAZATE","WATERMELON","0.050","2003-05-04T00:00:00",
"BIFENAZATE","CORIANDER","1.000","2010-05-12T00:00:00",
"BIFENAZATE","PEPPER","0.050","2003-05-04T00:00:00",
"BIFENAZATE","EGG PLANT","0.050","2003-05-04T00:00:00",
"BIFENAZATE","TOMATO","0.050","2003-05-04T00:00:00",
"BIFENAZATE","SUNFLOWER","0.050","2005-08-17T00:00:00",
"BIFENAZATE","OREGANO",,"2019-02-19T00:00:00","1.000"
"BIFENAZATE","APPLE","0.050","2010-01-04T00:00:00",
"BIFENAZATE","PEAR","0.050","2010-01-04T00:00:00",
"BIFENAZATE","PLUM","0.050","2011-05-17T00:00:00",
"BIFENAZATE","NECTARINE","0.050","2011-06-05T00:00:00",
"BIFENAZATE","PEACH",,"2018-05-07T00:00:00","0.050"
"BIFENAZATE","BASIL","1.000","2010-05-12T00:00:00",
"BIFENAZATE","CHIVES","1.000","2010-05-12T00:00:00",
