Commodity_Name,Commodity_Code,Pesticide_Name,MRL_Value,Flag_Po_Fat,Year_Legal_CAC,Full_Notes,Year_Science_JMPR,Flag_Status,Is_LOD,Commodity_ID,Pesticide_ID,crop_id_mapping,crop_name_mapping,crop_reasoning,pesticide_id_mapping,pesticide_name_mapping,pesticide_reasoning
"Citrus pulp, dried",AB 0001,Tolfenpyrad,6.0,,2021.0,,2019,,False,,269.0,103,CITRUS FRUIT,"'Citrus pulp, dried' הוא תוצר לוואי של פירות הדר, לכן פירות הדר (ID 103) הוא ההתאמה הנכונה.",272,TOLFENPYRAD,'Tolfenpyrad' מופיע ברשימת חומרי ההדברה תחת אותו שם (ID 272).
"Citrus pulp, dried",AB 0001,Methomyl,3.0,,2005.0,,2001,,False,,94.0,103,CITRUS FRUIT,"'Citrus pulp, dried' הוא תוצר לוואי של פירות הדר, לכן פירות הדר (ID 103) הוא ההתאמה הנכונה.",188,METHOMYL,'Methomyl' מופיע ברשימת חומרי ההדברה תחת אותו שם (ID 188).
"Citrus pulp, dried",AB 0001,Fluensulfone,1.5,,2021.0,,2019,,False,,265.0,103,CITRUS FRUIT,"'Citrus pulp, dried' הוא תוצר לוואי של פירות הדר, לכן פירות הדר (ID 103) הוא ההתאמה הנכונה.",122,FLUENSULFONE,'Fluensulfone' מופיע ברשימת חומרי ההדברה תחת אותו שם (ID 122).
"Citrus pulp, dried",AB 0001,Fluazifop-p-butyl,0.06,,2017.0,(LOD),2016,,True,,283.0,103,CITRUS FRUIT,"'Citrus pulp, dried' הוא תוצר לוואי של פירות הדר, לכן פירות הדר (ID 103) הוא ההתאמה הנכונה.",118,FLUAZIFOP-P-BUTYL,'Fluazifop-p-butyl' מופיע ברשימת חומרי ההדברה תחת אותו שם (ID 118).
"Citrus pulp, dried",AB 0001,Boscalid,6.0,,2011.0,,2010,,False,,221.0,103,CITRUS FRUIT,"'Citrus pulp, dried' הוא תוצר לוואי של פירות הדר, לכן פירות הדר (ID 103) הוא ההתאמה הנכונה.",27,BOSCALID,'Boscalid' מופיע ברשימת חומרי ההדברה תחת אותו שם (ID 27).
"Citrus pulp, dried",AB 0001,Imazalil,70.0,(dw),2022.0,((dw)) (Po),2021,Po,False,,110.0,103,CITRUS FRUIT,"'Citrus pulp, dried' הוא תוצר לוואי של פירות הדר, לכן פירות הדר (ID 103) הוא ההתאמה הנכונה.",152,IMAZALIL,'Imazalil' מופיע ברשימת חומרי ההדברה (ID 152) כהתאמה מדויקת.
"Citrus pulp, dried",AB 0001,Tebuconazole,3.0,(dw),2021.0,((dw)),2019,,False,,189.0,103,CITRUS FRUIT,"'Citrus pulp, dried' הוא תוצר לוואי של פירות הדר, לכן פירות הדר (ID 103) הוא ההתאמה הנכונה.",258,TEBUCONAZOLE,'Tebuconazole' מופיע ברשימת חומרי ההדברה (ID 258) כהתאמה מדויקת.
"Citrus pulp, dried",AB 0001,2-Phenylphenol,60.0,PoP,2003.0,(PoP),1999,,False,,56.0,103,CITRUS FRUIT,"'Citrus pulp, dried' הוא תוצר לוואי של פירות הדר, לכן פירות הדר (ID 103) הוא ההתאמה הנכונה.",199,ORTHO PHENYLPHENOL,"'2-Phenylphenol' הוא שם נוסף ל'ORTHO PHENYLPHENOL' (ID 199), התאמה כימית מדויקת."
"Citrus pulp, dried",AB 0001,Mandipropamid,1.5,,2022.0,,2021,,False,,231.0,103,CITRUS FRUIT,"'Citrus pulp, dried' הוא תוצר לוואי של פירות הדר, לכן פירות הדר (ID 103) הוא ההתאמה הנכונה.",174,MANDIPROPAMID,'Mandipropamid' מופיע ברשימת חומרי ההדברה (ID 174) כהתאמה מדויקת.
"Citrus pulp, dried",AB 0001,Cyfluthrin/beta-cyfluthrin,2.0,,2008.0,,2007,,False,,157.0,103,CITRUS FRUIT,"'Citrus pulp, dried' הוא תוצר לוואי של פירות הדר, לכן פירות הדר (ID 103) הוא ההתאמה הנכונה.",63,CYFLUTHRIN,"'Cyfluthrin/beta-cyfluthrin' מתייחס ל-CYFLUTHRIN (ID 63), כאשר beta-cyfluthrin הוא איזומר של אותו חומר. לכן זו התאמה מתאימה."
"Citrus pulp, dried",AB 0001,Trifloxystrobin,1.0,,2006.0,"[CCPR: Recommended withdrawal by JMPR (2021). Retained under the 4-year rule, awaiting the evaluation by JMPR. New residue data for citrus fruit would be available in December 2023 (53:85).]",2004,,False,,213.0,103,CITRUS FRUIT,"'Citrus pulp, dried' הוא תוצר לוואי של פירות הדר, לכן פירות הדר (ID 103) הוא ההתאמה הנכונה.",278,TRIFLOXYSTROBIN,'Trifloxystrobin' מופיע ברשימת חומרי ההדברה (ID 278) כהתאמה מדויקת.
"Citrus pulp, dried",AB 0001,Spiromesifen,0.3,,2023.0,,2022,,False,,294.0,103,CITRUS FRUIT,"'Citrus pulp, dried' הוא תוצר לוואי של פירות הדר, לכן פירות הדר (ID 103) הוא ההתאמה הנכונה.",251,SPIROMESIFEN,'Spiromesifen' מופיע ברשימת חומרי ההדברה (ID 251) כהתאמה מדויקת.
"Citrus pulp, dried",AB 0001,Afidopyropen,0.4,,2021.0,[Note: Based on processing studies on oranges.],2019,,False,,312.0,103,CITRUS FRUIT,"'Citrus pulp, dried' הוא תוצר לוואי של פירות הדר, לכן פירות הדר (ID 103) הוא ההתאמה הנכונה.",11,AFIDOPYROPEN,"'Afidopyropen' הוא שם מסחרי/כימי של 'AFIDOPYROPEN' (ID 11) ברשימה, התאמה מדויקת."
"Citrus pulp, dried",AB 0001,Fenbuconazole,4.0,,2014.0,,2013,,False,,197.0,103,CITRUS FRUIT,"'Citrus pulp, dried' הוא תוצר לוואי של פירות הדר, לכן פירות הדר (ID 103) הוא ההתאמה הנכונה.",108,FENBUCONAZOLE,'Fenbuconazole' מופיע ברשימת חומרי ההדברה (ID 108) כהתאמה מדויקת.
"Citrus pulp, dried",AB 0001,Imidacloprid,10.0,,2004.0,,2002,,False,,206.0,103,CITRUS FRUIT,"'Citrus pulp, dried' הוא תוצר לוואי של פירות הדר, לכן פירות הדר (ID 103) הוא ההתאמה הנכונה.",157,IMIDACLOPRID,'Imidacloprid' מופיע ברשימת חומרי ההדברה (ID 157) כהתאמה מדויקת.
"Citrus pulp, dried",AB 0001,Flonicamid,3.0,(dw),2021.0,((dw)),2019,,False,,282.0,103,CITRUS FRUIT,"'Citrus pulp, dried' הוא תוצר לוואי של פירות הדר, לכן פירות הדר (ID 103) הוא ההתאמה הנכונה.",116,FLONICAMID,'Flonicamid' מופיע ברשימת חומרי ההדברה (ID 116) כהתאמה מדויקת.
"Citrus pulp, dried",AB 0001,Fenbutatin Oxide,25.0,,1995.0,,,,False,,109.0,103,CITRUS FRUIT,"'Citrus pulp, dried' הוא תוצר לוואי של פירות הדר, לכן פירות הדר (ID 103) הוא ההתאמה הנכונה.",109,FENBUTATIN OXIDE,'Fenbutatin Oxide' מופיע ברשימת חומרי ההדברה (ID 109) כהתאמה מדויקת.
"Citrus pulp, dried",AB 0001,Propargite,10.0,,2004.0,,2002,,False,,113.0,103,CITRUS FRUIT,"'Citrus pulp, dried' הוא תוצר לוואי של פירות הדר, לכן פירות הדר (ID 103) הוא ההתאמה הנכונה.",226,PROPARGITE,'Propargite' מופיע ברשימת חומרי ההדברה (ID 226) כהתאמה מדויקת.
"Citrus pulp, dried",AB 0001,Buprofezin,5.0,,2021.0,,2019,,False,,173.0,103,CITRUS FRUIT,"'Citrus pulp, dried' הוא תוצר לוואי של פירות הדר, לכן פירות הדר (ID 103) הוא ההתאמה הנכונה.",33,BUPROFEZIN,'Buprofezin' מופיע ברשימת חומרי ההדברה (ID 33) כהתאמה מדויקת.
"Cotton seed, meal",AB 1203,Spirotetramat,1.0,,2012.0,,2011,,False,,234.0,56,COTTON,"'Cotton seed, meal' הוא תוצר של כותנה (Cotton). ברשימה יש 'כותנה' (ID 56), ולכן זו ההתאמה הסבירה ביותר.",252,SPIROTETRAMAT,'Spirotetramat' מופיע ברשימת חומרי ההדברה (ID 252) כהתאמה מדויקת.
"Cotton seed, meal",AB 1203,Mepiquat Chloride,8.0,,2024.0,[Note: Expressed as mepiquat cation],2023,,False,,336.0,56,COTTON,"'Cotton seed, meal' הוא תוצר של כותנה (Cotton). ברשימה יש 'כותנה' (ID 56), ולכן זו ההתאמה הסבירה ביותר.",,,'Mepiquat Chloride' אינו מופיע ברשימת חומרי ההדברה. ייתכן שמדובר בשם מסחרי או חומר שאינו כלול ברשימה.
"Cotton seed, meal",AB 1203,Methomyl,0.05,,2004.0,,2001,,False,,94.0,56,COTTON,"'Cotton seed, meal' הוא תוצר של כותנה (Cotton). ברשימה יש 'כותנה' (ID 56), ולכן זו ההתאמה הסבירה ביותר.",188,METHOMYL,'Methomyl' מופיע ברשימת חומרי ההדברה תחת אותו שם (ID 188).
"Apple pomace, wet",AB 1230,Isocycloseram,1.0,,2024.0,,2023,,False,,334.0,,,"הערך 'Apple pomace, wet' מתייחס לתוצר לוואי של תפוח עץ (Apple), אך אין ברשימה קטגוריה של פסולת או תוצר לוואי של תפוח עץ, רק 'תפוח עץ' (ID 140). לא ניתן לקבוע התאמה מדויקת.",,,'Isocycloseram' אינו מופיע ברשימת חומרי ההדברה. ייתכן שמדובר בשם מסחרי חדש או חומר שאינו כלול ברשימה.
Soya bean meal,AB 1265,Methomyl,20.0,,2004.0,,2001,,False,,94.0,,,"הערך 'Soya bean meal' מתייחס לארוחה של פולי סויה, אך ברשימת הגידולים אין סויה או מוצרי משנה שלה. לכן לא נמצא התאמה.",188,METHOMYL,'Methomyl' מופיע ברשימת חומרי ההדברה תחת אותו שם (ID 188).
Soya bean meal,AB 1265,Tioxazafen,0.06,,2019.0,,2018,,False,,311.0,,,"הערך 'Soya bean meal' מתייחס לארוחה של פולי סויה, אך ברשימת הגידולים אין סויה או מוצרי משנה שלה. לכן לא נמצא התאמה.",,,'Tioxazafen' אינו מופיע ברשימת חומרי ההדברה. ייתכן שמדובר בשם מסחרי חדש או חומר שאינו כלול ברשימה.
Soya bean meal,AB 1265,Dicamba,15.0,,2021.0,,2019,,False,,240.0,,,"הערך 'Soya bean meal' מתייחס לארוחה של פולי סויה, אך ברשימת הגידולים אין סויה או מוצרי משנה שלה. לכן לא נמצא התאמה.",74,DICAMBA,'Dicamba' מופיע ברשימת חומרי ההדברה תחת אותו שם (ID 74).
"Barley bran, unprocessed",CM 0640,Saflufenacil,3.0,,2017.0,,2016,,False,,251.0,,,"'Barley bran, unprocessed' מתאר סובין שעורה לא מעובד. ברשימת הייחוס יש 'BARLEY' (שעורה תרבותית, מזהה 130), אך אין אזכור לסובין בנפרד ולכן לא ניתן לקבוע התאמה חד משמעית.",247,SAFLUFENACIL,'Saflufenacil' תואם בדיוק ל-'SAFLUFENACIL' (מזהה 247) ברשימת הייחוס.
"Barley bran, unprocessed",CM 0640,Fenbuconazole,1.0,,2013.0,,2009,,False,,197.0,,,"'Barley bran, unprocessed' מתאר סובין שעורה לא מעובד. ברשימת הייחוס יש 'BARLEY' (שעורה תרבותית, מזהה 130), אך אין אזכור לסובין בנפרד ולכן לא ניתן לקבוע התאמה חד משמעית.",108,FENBUCONAZOLE,'Fenbuconazole' מופיע ברשימת חומרי ההדברה (ID 108) כהתאמה מדויקת.
"Grape pomace, dried",AB 0269,Mepiquat Chloride,15.0,,2024.0,[Note: Expressed as mepiquat cation],2023,,False,,336.0,,,"'Grape pomace, dried' הוא גפת ענבים מיובשת. ברשימת הייחוס יש 'GRAPES' (ענבים, מזהה 89), אך לא מצוינת גפת בנפרד ולכן לא ניתן לקבוע התאמה חד משמעית.",,,'Mepiquat Chloride' אינו מופיע ברשימת חומרי ההדברה. ייתכן שמדובר בשם מסחרי או חומר שאינו כלול ברשימה.
"Grape pomace, dried",AB 0269,Cyantraniliprole,15.0,,2024.0,,2023,,False,,263.0,,,"'Grape pomace, dried' הוא גפת ענבים מיובשת. ברשימת הייחוס יש 'GRAPES' (ענבים, מזהה 89), אך לא מצוינת גפת בנפרד ולכן לא ניתן לקבוע התאמה חד משמעית.",58,CYANTRANILIPROLE,"'Cyantraniliprole' הוא שם זהה לרשימת הייחוס (CYANTRANILIPROLE, מזהה 58)."
"Grape pomace, dried",AB 0269,Hexythiazox,15.0,,2010.0,,2009,,False,,176.0,,,"'Grape pomace, dried' הוא גפת ענבים מיובשת. ברשימת הייחוס יש 'GRAPES' (ענבים, מזהה 89), אך לא מצוינת גפת בנפרד ולכן לא ניתן לקבוע התאמה חד משמעית.",,,'Hexythiazox' אינו מופיע ברשימת הייחוס ולכן לא נמצאה התאמה.
"Grape pomace, dried",AB 0269,Chlorpyrifos-Methyl,5.0,,2011.0,,2009,,False,,90.0,,,"'Grape pomace, dried' הוא גפת ענבים מיובשת. ברשימת הייחוס יש 'GRAPES' (ענבים, מזהה 89), אך לא מצוינת גפת בנפרד ולכן לא ניתן לקבוע התאמה חד משמעית.",,,"'Chlorpyrifos-Methyl' אינו מופיע ברשימת הייחוס. קיים 'CHLORPYRIFOS' (מזהה 47), אך ללא ציון 'Methyl' ולכן לא ניתן לקבוע התאמה חד משמעית."
"Grape pomace, dried",AB 0269,Fenbutatin Oxide,100.0,,1995.0,,,,False,,109.0,,,"'Grape pomace, dried' הוא גפת ענבים מיובשת. ברשימת הייחוס יש 'GRAPES' (ענבים, מזהה 89), אך לא מצוינת גפת בנפרד ולכן לא ניתן לקבוע התאמה חד משמעית.",109,FENBUTATIN OXIDE,'Fenbutatin Oxide' מופיע ברשימת חומרי ההדברה (ID 109) כהתאמה מדויקת.
"Grape pomace, dried",AB 0269,Propargite,40.0,,,,2002,,False,,113.0,,,"'Grape pomace, dried' הוא גפת ענבים מיובשת. ברשימת הייחוס יש 'GRAPES' (ענבים, מזהה 89), אך לא מצוינת גפת בנפרד ולכן לא ניתן לקבוע התאמה חד משמעית.",226,PROPARGITE,'Propargite' מופיע ברשימת חומרי ההדברה (ID 226) כהתאמה מדויקת.
"Grape pomace, dried",AB 0269,Flusilazole,2.0,,2008.0,,2007,,False,,165.0,,,"'Grape pomace, dried' הוא גפת ענבים מיובשת. ברשימת הייחוס יש 'GRAPES' (ענבים, מזהה 89), אך לא מצוינת גפת בנפרד ולכן לא ניתן לקבוע התאמה חד משמעית.",,,'Flusilazole' אינו מופיע ברשימת חומרי ההדברה ולכן אין התאמה.
"Grape pomace, dried",AB 0269,Fluxapyroxad,150.0,,2016.0,,2015,,False,,256.0,,,"'Grape pomace, dried' הוא גפת ענבים מיובשת. ברשימת הייחוס יש 'GRAPES' (ענבים, מזהה 89), אך לא מצוינת גפת בנפרד ולכן לא ניתן לקבוע התאמה חד משמעית.",138,FLUXAPYROXAD,'Fluxapyroxad' מופיע ברשימת חומרי ההדברה תחת אותו שם (ID 138).
"Grape pomace, dried",AB 0269,Mefentrifluconazole,9.0,,2023.0,,2022,,False,,320.0,,,"'Grape pomace, dried' הוא גפת ענבים מיובשת. ברשימת הייחוס יש 'GRAPES' (ענבים, מזהה 89), אך לא מצוינת גפת בנפרד ולכן לא ניתן לקבוע התאמה חד משמעית.",,,'Mefentrifluconazole' אינו מופיע ברשימת הייחוס ולכן לא נמצאה התאמה.
"Grape pomace, dried",AB 0269,Fluopicolide,7.0,,2010.0,,2009,,False,,235.0,,,"'Grape pomace, dried' הוא גפת ענבים מיובשת. ברשימת הייחוס יש 'GRAPES' (ענבים, מזהה 89), אך לא מצוינת גפת בנפרד ולכן לא ניתן לקבוע התאמה חד משמעית.",128,FLUOPICOLIDE,"'Fluopicolide' מופיע ברשימת הייחוס (FLUOPICOLIDE, מזהה 128)."
"Grape pomace, dried",AB 0269,Famoxadone,7.0,,2005.0,,2003,,False,,208.0,,,"'Grape pomace, dried' הוא גפת ענבים מיובשת. ברשימת הייחוס יש 'GRAPES' (ענבים, מזהה 89), אך לא מצוינת גפת בנפרד ולכן לא ניתן לקבוע התאמה חד משמעית.",103,FAMOXADONE,"'Famoxadone' מופיע ברשימת הייחוס (FAMOXADONE, מזהה 103)."
"Grape pomace, dried",AB 0269,Spirotetramat,4.0,,2009.0,,2008,,False,,234.0,,,"'Grape pomace, dried' הוא גפת ענבים מיובשת. ברשימת הייחוס יש 'GRAPES' (ענבים, מזהה 89), אך לא מצוינת גפת בנפרד ולכן לא ניתן לקבוע התאמה חד משמעית.",252,SPIROTETRAMAT,'Spirotetramat' מופיע ברשימת חומרי ההדברה (ID 252) כהתאמה מדויקת.
"Sugar beet pulp, dry",AB 0596,Trifloxystrobin,0.2,,2006.0,,2004,,False,,213.0,82,SUGAR BEET,"'Sugar beet pulp, dry' הוא עיסת סלק סוכר יבשה. ברשימת הייחוס יש 'SUGAR BEET' (סלק סוכר, מזהה 82), שהוא הגידול ממנו מופקת העיסה ולכן זו ההתאמה הסבירה ביותר.",278,TRIFLOXYSTROBIN,'Trifloxystrobin' מופיע ברשימת חומרי ההדברה (ID 278) כהתאמה מדויקת.
"Sugar beet pulp, dry",AB 0596,Fenpropimorph,0.1,,2018.0,,2017,,False,,188.0,82,SUGAR BEET,"'Sugar beet pulp, dry' הוא עיסת סלק סוכר יבשה. ברשימת הייחוס יש 'SUGAR BEET' (סלק סוכר, מזהה 82), שהוא הגידול ממנו מופקת העיסה ולכן זו ההתאמה הסבירה ביותר.",,,'Fenpropimorph' אינו מופיע ברשימת הייחוס ולכן לא נמצאה התאמה.
"Sugar beet pulp, dry",AB 0596,Fluazifop-p-butyl,20.0,,2017.0,,2016,,False,,283.0,82,SUGAR BEET,"'Sugar beet pulp, dry' הוא עיסת סלק סוכר יבשה. ברשימת הייחוס יש 'SUGAR BEET' (סלק סוכר, מזהה 82), שהוא הגידול ממנו מופקת העיסה ולכן זו ההתאמה הסבירה ביותר.",118,FLUAZIFOP-P-BUTYL,'Fluazifop-p-butyl' מופיע ברשימת חומרי ההדברה תחת אותו שם (ID 118).
"Sugar beet pulp, dry",AB 0596,Acetochlor,0.3,,2016.0,,2015,,False,,280.0,82,SUGAR BEET,"'Sugar beet pulp, dry' הוא עיסת סלק סוכר יבשה. ברשימת הייחוס יש 'SUGAR BEET' (סלק סוכר, מזהה 82), שהוא הגידול ממנו מופקת העיסה ולכן זו ההתאמה הסבירה ביותר.",,,'Acetochlor' אינו מופיע ברשימת הייחוס ולכן לא נמצאה התאמה.
Sorghum forage (dry),AF 1053,Carbaryl,50.0,,2004.0,,2002,,False,,8.0,36,SORGHUM BICOLOR,"השם 'Sorghum forage (dry)' מתאר מספוא סורגום יבש. ברשימת הייחוס יש 'SORGHUM BICOLOR' (וידן, מספוא סורגום) תחת מזהה 36, שהוא ההתאמה הסבירה ביותר.",35,CARBARYL,'Carbaryl' מופיע ברשימת חומרי ההדברה תחת אותו שם (ID 35).
"Alfalfa, hay and/or straw",AL 1020,Afidopyropen,8.0,(dw),2023.0,((dw)),2022,,False,,312.0,8,ALFALFA,"Alfalfa הוא תרגום ישיר של אספסת (ID 8). הביטוי 'hay and/or straw' מתייחס לתוצרי המספוא של הגידול, אך הגידול עצמו הוא אספסת.",11,AFIDOPYROPEN,"'Afidopyropen' הוא שם מסחרי/כימי של 'AFIDOPYROPEN' (ID 11) ברשימה, התאמה מדויקת."
"Alfalfa, hay and/or straw",AL 1020,Norflurazon,7.0,(DM),2019.0,((DM)),2018,,False,,308.0,8,ALFALFA,"Alfalfa הוא תרגום ישיר של אספסת (ID 8). הביטוי 'hay and/or straw' מתייחס לתוצרי המספוא של הגידול, אך הגידול עצמו הוא אספסת.",,,Norflurazon אינו מופיע ברשימת חומרי ההדברה ולכן אין התאמה.
"Alfalfa, hay and/or straw",AL 1020,Imazamox,0.1,,2015.0,(LOD),2014,,True,,276.0,8,ALFALFA,"Alfalfa הוא תרגום ישיר של אספסת (ID 8). הביטוי 'hay and/or straw' מתייחס לתוצרי המספוא של הגידול, אך הגידול עצמו הוא אספסת.",153,IMAZAMOX,Imazamox הוא התאמה מדויקת לשם חומר ההדברה ברשימת הייחוס (ID 153).
"Alfalfa, hay and/or straw",AL 1020,Disulfoton,5.0,(dw),1995.0,((dw)),,,False,,74.0,8,ALFALFA,"Alfalfa הוא תרגום ישיר של אספסת (ID 8). הביטוי 'hay and/or straw' מתייחס לתוצרי המספוא של הגידול, אך הגידול עצמו הוא אספסת.",,,Disulfoton אינו מופיע ברשימת חומרי ההדברה ולכן אין התאמה.
"Alfalfa, hay and/or straw",AL 1020,Flumioxazin,3.0,(dw),2016.0,((dw)),2015,,False,,284.0,8,ALFALFA,"Alfalfa הוא תרגום ישיר של אספסת (ID 8). הביטוי 'hay and/or straw' מתייחס לתוצרי המספוא של הגידול, אך הגידול עצמו הוא אספסת.",126,FLUMIOXAZIN,Flumioxazin הוא התאמה מדויקת לשם חומר ההדברה ברשימת הייחוס (ID 126).
"Alfalfa, hay and/or straw",AL 1020,Bentazone,0.5,,2014.0,,2013,,False,,172.0,8,ALFALFA,"Alfalfa הוא תרגום ישיר של אספסת (ID 8). הביטוי 'hay and/or straw' מתייחס לתוצרי המספוא של הגידול, אך הגידול עצמו הוא אספסת.",22,BENTAZONE,"Bentazone הוא שם כמעט זהה ל-BENTAZONE (ID 22) ברשימת הייחוס, מדובר בהבדל כתיב מינורי בלבד."
"Alfalfa, hay and/or straw",AL 1020,Indoxacarb,60.0,,2006.0,,2005,,False,,216.0,8,ALFALFA,"Alfalfa הוא תרגום ישיר של אספסת (ID 8). הביטוי 'hay and/or straw' מתייחס לתוצרי המספוא של הגידול, אך הגידול עצמו הוא אספסת.",159,INDOXACARB,Indoxacarb הוא התאמה מדויקת לשם חומר ההדברה ברשימת הייחוס (ID 159).
"Alfalfa, hay and/or straw",AL 1020,Methomyl,20.0,,2005.0,"[CCPR: Pending submission of residue trial data to clarify the suitable classification and representative commodity for okra, martynia, and roselle. Crop Group corresponding to the old Classification which does not include okra, martynia and roselle.]",2001,,False,,94.0,8,ALFALFA,"Alfalfa הוא תרגום ישיר של אספסת (ID 8). הביטוי 'hay and/or straw' מתייחס לתוצרי המספוא של הגידול, אך הגידול עצמו הוא אספסת.",188,METHOMYL,'Methomyl' מופיע ברשימת חומרי ההדברה תחת אותו שם (ID 188).
